Player,Region,Average speed
Dec,North America,1466
Spyder,North America,1465
eli,Oceania,1464
Redi,South America,1464
Hasyimf,Indonesia,1464
ASN_RuBiiX.,Europe,1462
Fiberr,Oceania,1462
kisai,Europe,1460
Astroh,North America,1460
night.,North America,1460
Chronic,North America,1458
ayLucky,North America,1458
Kryptos,Europe,1455
Nick,Japan,1455
.kisai,Europe,1454
AxB,North America,1454
KnsMoonster,South America,1454
Tylacto,Europe,1453
Joyo!,Europe,1451
Lenrid,Europe,1445
Heps,North America,1445
Slush!,Europe,1442
misty,Oceania,1442
Hato,North America,1441
GSPIN,India,1438
Luk,South America,1437
Cyrexal,Oceania,1435
MALA,North America,1426
ayjacks,North America,1421
beastaboniam,North America,1415
milo,Europe,1411
Lil PLASMA,Japan,1408
Magnet,Oceania,1391
SubHallz,South America,1389
twistt :/,South America,1329
Cinereous,Europe,125
SUP3RSoN1K,Europe,0
Irelique,Europe,0
Admin-Fridgy,North America,0
